,iter,weights
0,1,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
1,2,"{'number_adjacent_facts_other_value': 0.5, 'number_other_facts_same_value': 1.25, 'number_other_facts_other_value': 0.5, 'adjacent_col_used': 0.5, 'adjacent_row_used': 0.5, 'adjacent_block_used': 1.5, 'other_col_cons': 0.625, 'other_row_cons': 0.625, 'other_block_cons': 0.5, 'number_adjacent_row_facts': 0.5, 'number_adjacent_col_facts': 0.5, 'number_adjacent_block_facts': 0.5}"
2,3,"{'number_adjacent_facts_other_value': 0.7857142857142857, 'number_other_facts_same_value': 1.5, 'number_other_facts_other_value': 0.9230769230769231, 'adjacent_col_used': 0.001, 'adjacent_row_used': 1.0, 'adjacent_block_used': 2.0, 'other_col_cons': 1.0625, 'other_row_cons': 1.0625, 'other_block_cons': 0.875, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 0.25, 'number_adjacent_block_facts': 0.8}"
3,4,"{'number_adjacent_facts_other_value': 1.0357142857142856, 'number_other_facts_same_value': 1.5, 'number_other_facts_other_value': 0.9230769230769231, 'adjacent_col_used': 0.001, 'adjacent_row_used': 1.5, 'adjacent_block_used': 2.0, 'other_col_cons': 1.5625, 'other_row_cons': 1.0625, 'other_block_cons': 0.875, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 0.5, 'number_adjacent_block_facts': 0.8}"
4,5,"{'number_adjacent_facts_other_value': 1.0357142857142856, 'number_other_facts_same_value': 1.5, 'number_other_facts_other_value': 1.4230769230769231, 'adjacent_col_used': 0.001, 'adjacent_row_used': 2.0, 'adjacent_block_used': 2.0, 'other_col_cons': 1.5625, 'other_row_cons': 1.0625, 'other_block_cons': 0.875, 'number_adjacent_row_facts': 1.5, 'number_adjacent_col_facts': 0.25, 'number_adjacent_block_facts': 0.55}"
5,6,"{'number_adjacent_facts_other_value': 1.0357142857142856, 'number_other_facts_same_value': 1.5, 'number_other_facts_other_value': 1.4230769230769231, 'adjacent_col_used': 0.501, 'adjacent_row_used': 1.5, 'adjacent_block_used': 2.0, 'other_col_cons': 1.5625, 'other_row_cons': 1.5625, 'other_block_cons': 0.875, 'number_adjacent_row_facts': 1.5, 'number_adjacent_col_facts': 0.25, 'number_adjacent_block_facts': 0.55}"
6,7,"{'number_adjacent_facts_other_value': 1.0357142857142856, 'number_other_facts_same_value': 1.5, 'number_other_facts_other_value': 1.9230769230769231, 'adjacent_col_used': 1.001, 'adjacent_row_used': 1.0, 'adjacent_block_used': 2.5, 'other_col_cons': 1.5625, 'other_row_cons': 2.0625, 'other_block_cons': 0.375, 'number_adjacent_row_facts': 1.25, 'number_adjacent_col_facts': 0.75, 'number_adjacent_block_facts': 0.30000000000000004}"
7,8,"{'number_adjacent_facts_other_value': 1.0357142857142856, 'number_other_facts_same_value': 1.5, 'number_other_facts_other_value': 1.9230769230769231, 'adjacent_col_used': 0.5009999999999999, 'adjacent_row_used': 1.5, 'adjacent_block_used': 2.5, 'other_col_cons': 1.5625, 'other_row_cons': 1.5625, 'other_block_cons': 0.375, 'number_adjacent_row_facts': 1.25, 'number_adjacent_col_facts': 0.75, 'number_adjacent_block_facts': 0.30000000000000004}"
8,9,"{'number_adjacent_facts_other_value': 1.0357142857142856, 'number_other_facts_same_value': 1.5, 'number_other_facts_other_value': 1.9230769230769231, 'adjacent_col_used': 1.001, 'adjacent_row_used': 1.5, 'adjacent_block_used': 2.0, 'other_col_cons': 1.5625, 'other_row_cons': 1.5625, 'other_block_cons': 0.875, 'number_adjacent_row_facts': 1.25, 'number_adjacent_col_facts': 0.75, 'number_adjacent_block_facts': 0.30000000000000004}"
9,10,"{'number_adjacent_facts_other_value': 1.4107142857142856, 'number_other_facts_same_value': 1.3333333333333333, 'number_other_facts_other_value': 1.9230769230769231, 'adjacent_col_used': 1.001, 'adjacent_row_used': 1.5, 'adjacent_block_used': 2.0, 'other_col_cons': 1.5625, 'other_row_cons': 1.5625, 'other_block_cons': 0.625, 'number_adjacent_row_facts': 1.25, 'number_adjacent_col_facts': 1.125, 'number_adjacent_block_facts': 0.30000000000000004}"
10,11,"{'number_adjacent_facts_other_value': 1.4107142857142856, 'number_other_facts_same_value': 1.3333333333333333, 'number_other_facts_other_value': 1.9230769230769231, 'adjacent_col_used': 1.501, 'adjacent_row_used': 1.0, 'adjacent_block_used': 2.0, 'other_col_cons': 1.5625, 'other_row_cons': 2.0625, 'other_block_cons': 0.625, 'number_adjacent_row_facts': 1.25, 'number_adjacent_col_facts': 1.125, 'number_adjacent_block_facts': 0.30000000000000004}"
11,12,"{'number_adjacent_facts_other_value': 1.4107142857142856, 'number_other_facts_same_value': 1.3333333333333333, 'number_other_facts_other_value': 1.9230769230769231, 'adjacent_col_used': 1.501, 'adjacent_row_used': 0.5, 'adjacent_block_used': 2.5, 'other_col_cons': 1.5625, 'other_row_cons': 2.5625, 'other_block_cons': 0.125, 'number_adjacent_row_facts': 1.25, 'number_adjacent_col_facts': 1.125, 'number_adjacent_block_facts': 0.30000000000000004}"
12,13,"{'number_adjacent_facts_other_value': 1.4107142857142856, 'number_other_facts_same_value': 1.3333333333333333, 'number_other_facts_other_value': 1.9230769230769231, 'adjacent_col_used': 1.001, 'adjacent_row_used': 1.0, 'adjacent_block_used': 2.5, 'other_col_cons': 2.0625, 'other_row_cons': 2.0625, 'other_block_cons': 0.125, 'number_adjacent_row_facts': 1.25, 'number_adjacent_col_facts': 1.125, 'number_adjacent_block_facts': 0.30000000000000004}"
13,14,"{'number_adjacent_facts_other_value': 1.4107142857142856, 'number_other_facts_same_value': 1.3333333333333333, 'number_other_facts_other_value': 1.9230769230769231, 'adjacent_col_used': 1.501, 'adjacent_row_used': 1.0, 'adjacent_block_used': 2.0, 'other_col_cons': 1.5625, 'other_row_cons': 2.0625, 'other_block_cons': 0.625, 'number_adjacent_row_facts': 1.25, 'number_adjacent_col_facts': 1.125, 'number_adjacent_block_facts': 0.30000000000000004}"
14,15,"{'number_adjacent_facts_other_value': 1.9107142857142856, 'number_other_facts_same_value': 1.2083333333333333, 'number_other_facts_other_value': 1.9230769230769231, 'adjacent_col_used': 2.001, 'adjacent_row_used': 0.5, 'adjacent_block_used': 2.0, 'other_col_cons': 1.0625, 'other_row_cons': 2.5625, 'other_block_cons': 0.625, 'number_adjacent_row_facts': 1.25, 'number_adjacent_col_facts': 1.625, 'number_adjacent_block_facts': 0.8}"
15,16,"{'number_adjacent_facts_other_value': 1.9107142857142856, 'number_other_facts_same_value': 1.2083333333333333, 'number_other_facts_other_value': 1.9230769230769231, 'adjacent_col_used': 1.501, 'adjacent_row_used': 1.0, 'adjacent_block_used': 2.0, 'other_col_cons': 1.5625, 'other_row_cons': 2.5625, 'other_block_cons': 0.9583333333333333, 'number_adjacent_row_facts': 1.25, 'number_adjacent_col_facts': 1.625, 'number_adjacent_block_facts': 0.8}"
16,17,"{'number_adjacent_facts_other_value': 1.9107142857142856, 'number_other_facts_same_value': 1.2083333333333333, 'number_other_facts_other_value': 1.9230769230769231, 'adjacent_col_used': 1.001, 'adjacent_row_used': 1.0, 'adjacent_block_used': 1.5, 'other_col_cons': 2.0625, 'other_row_cons': 2.5625, 'other_block_cons': 0.7083333333333333, 'number_adjacent_row_facts': 1.25, 'number_adjacent_col_facts': 1.625, 'number_adjacent_block_facts': 0.8}"
17,18,"{'number_adjacent_facts_other_value': 1.7857142857142856, 'number_other_facts_same_value': 1.375, 'number_other_facts_other_value': 1.9230769230769231, 'adjacent_col_used': 1.001, 'adjacent_row_used': 1.0, 'adjacent_block_used': 1.5, 'other_col_cons': 2.0625, 'other_row_cons': 2.8125, 'other_block_cons': 0.7083333333333333, 'number_adjacent_row_facts': 1.25, 'number_adjacent_col_facts': 1.5, 'number_adjacent_block_facts': 0.55}"
18,19,"{'number_adjacent_facts_other_value': 1.7857142857142856, 'number_other_facts_same_value': 1.375, 'number_other_facts_other_value': 1.9230769230769231, 'adjacent_col_used': 1.001, 'adjacent_row_used': 1.5, 'adjacent_block_used': 1.0, 'other_col_cons': 2.0625, 'other_row_cons': 2.3125, 'other_block_cons': 1.2083333333333333, 'number_adjacent_row_facts': 1.25, 'number_adjacent_col_facts': 1.5, 'number_adjacent_block_facts': 0.55}"
19,20,"{'number_adjacent_facts_other_value': 1.7857142857142856, 'number_other_facts_same_value': 1.375, 'number_other_facts_other_value': 1.4230769230769231, 'adjacent_col_used': 1.001, 'adjacent_row_used': 1.0, 'adjacent_block_used': 1.0, 'other_col_cons': 2.0625, 'other_row_cons': 2.3125, 'other_block_cons': 1.2083333333333333, 'number_adjacent_row_facts': 0.75, 'number_adjacent_col_facts': 1.6, 'number_adjacent_block_facts': 0.55}"
20,21,"{'number_adjacent_facts_other_value': 2.0857142857142854, 'number_other_facts_same_value': 1.125, 'number_other_facts_other_value': 1.4230769230769231, 'adjacent_col_used': 1.001, 'adjacent_row_used': 1.0, 'adjacent_block_used': 1.0, 'other_col_cons': 2.0625, 'other_row_cons': 2.3125, 'other_block_cons': 0.9583333333333333, 'number_adjacent_row_facts': 0.75, 'number_adjacent_col_facts': 1.9000000000000001, 'number_adjacent_block_facts': 0.55}"
21,22,"{'number_adjacent_facts_other_value': 2.0857142857142854, 'number_other_facts_same_value': 1.125, 'number_other_facts_other_value': 1.4230769230769231, 'adjacent_col_used': 1.001, 'adjacent_row_used': 1.0, 'adjacent_block_used': 1.5, 'other_col_cons': 2.0625, 'other_row_cons': 2.3125, 'other_block_cons': 0.9583333333333333, 'number_adjacent_row_facts': 0.75, 'number_adjacent_col_facts': 1.7750000000000001, 'number_adjacent_block_facts': 0.8}"
22,23,"{'number_adjacent_facts_other_value': 2.1857142857142855, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 1.4230769230769231, 'adjacent_col_used': 1.001, 'adjacent_row_used': 0.5, 'adjacent_block_used': 1.5, 'other_col_cons': 2.0625, 'other_row_cons': 2.4791666666666665, 'other_block_cons': 0.45833333333333326, 'number_adjacent_row_facts': 0.75, 'number_adjacent_col_facts': 1.9416666666666669, 'number_adjacent_block_facts': 0.9666666666666667}"
23,24,"{'number_adjacent_facts_other_value': 2.1857142857142855, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 1.4230769230769231, 'adjacent_col_used': 1.001, 'adjacent_row_used': 1.0, 'adjacent_block_used': 2.0, 'other_col_cons': 2.0625, 'other_row_cons': 1.9791666666666665, 'other_block_cons': 0.7083333333333333, 'number_adjacent_row_facts': 0.75, 'number_adjacent_col_facts': 1.9416666666666669, 'number_adjacent_block_facts': 0.9666666666666667}"
24,25,"{'number_adjacent_facts_other_value': 2.1857142857142855, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 1.5897435897435899, 'adjacent_col_used': 1.001, 'adjacent_row_used': 1.0, 'adjacent_block_used': 2.0, 'other_col_cons': 2.0625, 'other_row_cons': 1.9791666666666665, 'other_block_cons': 0.7083333333333333, 'number_adjacent_row_facts': 0.9166666666666666, 'number_adjacent_col_facts': 1.8166666666666669, 'number_adjacent_block_facts': 0.8416666666666667}"
25,26,"{'number_adjacent_facts_other_value': 2.1857142857142855, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 2.08974358974359, 'adjacent_col_used': 1.501, 'adjacent_row_used': 1.0, 'adjacent_block_used': 2.0, 'other_col_cons': 2.0625, 'other_row_cons': 1.9791666666666665, 'other_block_cons': 0.7083333333333333, 'number_adjacent_row_facts': 0.8166666666666667, 'number_adjacent_col_facts': 2.316666666666667, 'number_adjacent_block_facts': 0.5916666666666667}"
26,27,"{'number_adjacent_facts_other_value': 2.4357142857142855, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 2.08974358974359, 'adjacent_col_used': 1.501, 'adjacent_row_used': 1.0, 'adjacent_block_used': 2.0, 'other_col_cons': 2.5625, 'other_row_cons': 1.9791666666666665, 'other_block_cons': 0.45833333333333326, 'number_adjacent_row_facts': 1.0666666666666667, 'number_adjacent_col_facts': 2.316666666666667, 'number_adjacent_block_facts': 0.5916666666666667}"
27,28,"{'number_adjacent_facts_other_value': 2.5357142857142856, 'number_other_facts_same_value': 0.75, 'number_other_facts_other_value': 2.08974358974359, 'adjacent_col_used': 1.501, 'adjacent_row_used': 1.0, 'adjacent_block_used': 2.0, 'other_col_cons': 2.0625, 'other_row_cons': 1.9791666666666665, 'other_block_cons': 0.45833333333333326, 'number_adjacent_row_facts': 1.1666666666666667, 'number_adjacent_col_facts': 2.316666666666667, 'number_adjacent_block_facts': 0.8416666666666667}"
28,29,"{'number_adjacent_facts_other_value': 2.2857142857142856, 'number_other_facts_same_value': 0.9166666666666666, 'number_other_facts_other_value': 2.08974358974359, 'adjacent_col_used': 1.501, 'adjacent_row_used': 1.0, 'adjacent_block_used': 2.0, 'other_col_cons': 2.5625, 'other_row_cons': 1.9791666666666665, 'other_block_cons': 0.45833333333333326, 'number_adjacent_row_facts': 0.9166666666666667, 'number_adjacent_col_facts': 2.316666666666667, 'number_adjacent_block_facts': 0.5916666666666667}"
29,30,"{'number_adjacent_facts_other_value': 2.2857142857142856, 'number_other_facts_same_value': 0.9166666666666666, 'number_other_facts_other_value': 2.08974358974359, 'adjacent_col_used': 1.501, 'adjacent_row_used': 1.5, 'adjacent_block_used': 1.5, 'other_col_cons': 2.5625, 'other_row_cons': 1.9791666666666665, 'other_block_cons': 0.9583333333333333, 'number_adjacent_row_facts': 0.9166666666666667, 'number_adjacent_col_facts': 2.316666666666667, 'number_adjacent_block_facts': 0.5916666666666667}"
30,31,"{'number_adjacent_facts_other_value': 2.4732142857142856, 'number_other_facts_same_value': 0.41666666666666663, 'number_other_facts_other_value': 2.08974358974359, 'adjacent_col_used': 1.501, 'adjacent_row_used': 2.0, 'adjacent_block_used': 1.5, 'other_col_cons': 2.0625, 'other_row_cons': 1.9791666666666665, 'other_block_cons': 0.9583333333333333, 'number_adjacent_row_facts': 1.2916666666666667, 'number_adjacent_col_facts': 1.8166666666666669, 'number_adjacent_block_facts': 0.675}"
31,32,"{'number_adjacent_facts_other_value': 2.4732142857142856, 'number_other_facts_same_value': 0.41666666666666663, 'number_other_facts_other_value': 2.08974358974359, 'adjacent_col_used': 1.501, 'adjacent_row_used': 1.5, 'adjacent_block_used': 2.0, 'other_col_cons': 2.0625, 'other_row_cons': 2.4791666666666665, 'other_block_cons': 0.45833333333333326, 'number_adjacent_row_facts': 1.2916666666666667, 'number_adjacent_col_facts': 1.8166666666666669, 'number_adjacent_block_facts': 0.675}"
32,33,"{'number_adjacent_facts_other_value': 2.4732142857142856, 'number_other_facts_same_value': 0.41666666666666663, 'number_other_facts_other_value': 2.08974358974359, 'adjacent_col_used': 2.001, 'adjacent_row_used': 1.0, 'adjacent_block_used': 2.0, 'other_col_cons': 2.0625, 'other_row_cons': 2.4791666666666665, 'other_block_cons': 0.45833333333333326, 'number_adjacent_row_facts': 1.2916666666666667, 'number_adjacent_col_facts': 1.8166666666666669, 'number_adjacent_block_facts': 0.675}"
33,34,"{'number_adjacent_facts_other_value': 2.2232142857142856, 'number_other_facts_same_value': 0.5833333333333333, 'number_other_facts_other_value': 2.08974358974359, 'adjacent_col_used': 2.001, 'adjacent_row_used': 1.0, 'adjacent_block_used': 2.0, 'other_col_cons': 2.5625, 'other_row_cons': 2.4791666666666665, 'other_block_cons': 0.45833333333333326, 'number_adjacent_row_facts': 1.0416666666666667, 'number_adjacent_col_facts': 1.8166666666666669, 'number_adjacent_block_facts': 0.42500000000000004}"
34,35,"{'number_adjacent_facts_other_value': 2.4232142857142858, 'number_other_facts_same_value': 0.33333333333333326, 'number_other_facts_other_value': 2.08974358974359, 'adjacent_col_used': 2.001, 'adjacent_row_used': 1.0, 'adjacent_block_used': 2.0, 'other_col_cons': 2.0625, 'other_row_cons': 2.4791666666666665, 'other_block_cons': 0.45833333333333326, 'number_adjacent_row_facts': 1.2916666666666667, 'number_adjacent_col_facts': 1.8166666666666669, 'number_adjacent_block_facts': 0.625}"
35,36,"{'number_adjacent_facts_other_value': 2.1732142857142858, 'number_other_facts_same_value': 0.4999999999999999, 'number_other_facts_other_value': 2.08974358974359, 'adjacent_col_used': 2.001, 'adjacent_row_used': 1.0, 'adjacent_block_used': 2.0, 'other_col_cons': 2.5625, 'other_row_cons': 2.4791666666666665, 'other_block_cons': 0.45833333333333326, 'number_adjacent_row_facts': 1.0416666666666667, 'number_adjacent_col_facts': 1.8166666666666669, 'number_adjacent_block_facts': 0.375}"
36,37,"{'number_adjacent_facts_other_value': 2.1732142857142858, 'number_other_facts_same_value': 0.4999999999999999, 'number_other_facts_other_value': 2.58974358974359, 'adjacent_col_used': 2.001, 'adjacent_row_used': 1.5, 'adjacent_block_used': 2.0, 'other_col_cons': 2.5625, 'other_row_cons': 2.4791666666666665, 'other_block_cons': 0.45833333333333326, 'number_adjacent_row_facts': 1.5416666666666667, 'number_adjacent_col_facts': 1.5666666666666669, 'number_adjacent_block_facts': 0.125}"
