,iter,weights
0,1,"{'number_adjacent_facts_other_value': 0.18154761904761885, 'number_other_facts_same_value': 1.8333333333333333, 'number_other_facts_other_value': 2.58974358974359, 'adjacent_col_used': 2.501, 'adjacent_row_used': 0.5, 'adjacent_block_used': 3.0, 'other_col_cons': 4.0625, 'other_row_cons': 3.9791666666666665, 'other_block_cons': 1.126, 'number_adjacent_row_facts': 0.001, 'number_adjacent_col_facts': 1.8166666666666669, 'number_adjacent_block_facts': 0.08433333333333332}"
1,2,"{'number_adjacent_facts_other_value': 0.5148809523809521, 'number_other_facts_same_value': 2.083333333333333, 'number_other_facts_other_value': 3.08974358974359, 'adjacent_col_used': 2.001, 'adjacent_row_used': 1.0, 'adjacent_block_used': 3.5, 'other_col_cons': 4.5625, 'other_row_cons': 4.479166666666666, 'other_block_cons': 1.501, 'number_adjacent_row_facts': 0.501, 'number_adjacent_col_facts': 1.8166666666666669, 'number_adjacent_block_facts': 0.3343333333333333}"
2,3,"{'number_adjacent_facts_other_value': 0.2291666666666664, 'number_other_facts_same_value': 2.083333333333333, 'number_other_facts_other_value': 3.08974358974359, 'adjacent_col_used': 1.501, 'adjacent_row_used': 1.5, 'adjacent_block_used': 3.5, 'other_col_cons': 4.5625, 'other_row_cons': 4.479166666666666, 'other_block_cons': 1.501, 'number_adjacent_row_facts': 0.16766666666666669, 'number_adjacent_col_facts': 1.8166666666666669, 'number_adjacent_block_facts': 0.1343333333333333}"
3,4,"{'number_adjacent_facts_other_value': 0.6041666666666664, 'number_other_facts_same_value': 2.083333333333333, 'number_other_facts_other_value': 3.08974358974359, 'adjacent_col_used': 1.501, 'adjacent_row_used': 1.5, 'adjacent_block_used': 3.5, 'other_col_cons': 4.5625, 'other_row_cons': 4.479166666666666, 'other_block_cons': 1.501, 'number_adjacent_row_facts': 0.6676666666666666, 'number_adjacent_col_facts': 1.8166666666666669, 'number_adjacent_block_facts': 0.3843333333333333}"
4,5,"{'number_adjacent_facts_other_value': 0.4374999999999998, 'number_other_facts_same_value': 2.083333333333333, 'number_other_facts_other_value': 3.08974358974359, 'adjacent_col_used': 1.501, 'adjacent_row_used': 1.5, 'adjacent_block_used': 3.5, 'other_col_cons': 4.5625, 'other_row_cons': 4.479166666666666, 'other_block_cons': 1.501, 'number_adjacent_row_facts': 0.6676666666666666, 'number_adjacent_col_facts': 1.8166666666666669, 'number_adjacent_block_facts': 0.21766666666666665}"
5,6,"{'number_adjacent_facts_other_value': 0.18749999999999978, 'number_other_facts_same_value': 2.083333333333333, 'number_other_facts_other_value': 3.08974358974359, 'adjacent_col_used': 1.501, 'adjacent_row_used': 1.5, 'adjacent_block_used': 3.5, 'other_col_cons': 4.5625, 'other_row_cons': 4.479166666666666, 'other_block_cons': 1.501, 'number_adjacent_row_facts': 0.6676666666666666, 'number_adjacent_col_facts': 1.8166666666666669, 'number_adjacent_block_facts': 0.001}"
6,7,"{'number_adjacent_facts_other_value': 0.02083333333333312, 'number_other_facts_same_value': 2.083333333333333, 'number_other_facts_other_value': 3.08974358974359, 'adjacent_col_used': 1.501, 'adjacent_row_used': 1.5, 'adjacent_block_used': 3.5, 'other_col_cons': 4.5625, 'other_row_cons': 4.479166666666666, 'other_block_cons': 1.501, 'number_adjacent_row_facts': 0.501, 'number_adjacent_col_facts': 1.8166666666666669, 'number_adjacent_block_facts': 0.001}"
7,8,"{'number_adjacent_facts_other_value': 0.001, 'number_other_facts_same_value': 2.083333333333333, 'number_other_facts_other_value': 3.08974358974359, 'adjacent_col_used': 1.501, 'adjacent_row_used': 1.5, 'adjacent_block_used': 3.5, 'other_col_cons': 4.5625, 'other_row_cons': 4.479166666666666, 'other_block_cons': 1.501, 'number_adjacent_row_facts': 0.501, 'number_adjacent_col_facts': 1.8166666666666669, 'number_adjacent_block_facts': 0.001}"
8,9,"{'number_adjacent_facts_other_value': 0.001, 'number_other_facts_same_value': 2.083333333333333, 'number_other_facts_other_value': 3.08974358974359, 'adjacent_col_used': 1.501, 'adjacent_row_used': 1.5, 'adjacent_block_used': 3.5, 'other_col_cons': 4.5625, 'other_row_cons': 4.479166666666666, 'other_block_cons': 1.501, 'number_adjacent_row_facts': 0.501, 'number_adjacent_col_facts': 1.8166666666666669, 'number_adjacent_block_facts': 0.001}"
9,10,"{'number_adjacent_facts_other_value': 0.001, 'number_other_facts_same_value': 2.2499999999999996, 'number_other_facts_other_value': 3.08974358974359, 'adjacent_col_used': 1.501, 'adjacent_row_used': 1.5, 'adjacent_block_used': 3.5, 'other_col_cons': 4.5625, 'other_row_cons': 4.479166666666666, 'other_block_cons': 1.751, 'number_adjacent_row_facts': 0.501, 'number_adjacent_col_facts': 1.4416666666666669, 'number_adjacent_block_facts': 0.001}"
