,iter,weights
0,1,"{'number_adjacent_facts_other_value': 23.670191919191918, 'number_other_facts_same_value': 49.58433333333332, 'number_other_facts_other_value': 31.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 35.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 42.916666666666664, 'other_row_cons': 53.5, 'other_block_cons': 57.666666666666664, 'number_adjacent_row_facts': 13.875999999999998, 'number_adjacent_col_facts': 23.91766666666667, 'number_adjacent_block_facts': 15.750999999999998}"
1,2,"{'number_adjacent_facts_other_value': 27.00352525252525, 'number_other_facts_same_value': 52.08433333333332, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 41.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 56.0, 'other_col_cons': 46.666666666666664, 'other_row_cons': 58.5, 'other_block_cons': 62.666666666666664, 'number_adjacent_row_facts': 18.875999999999998, 'number_adjacent_col_facts': 23.91766666666667, 'number_adjacent_block_facts': 18.250999999999998}"
2,3,"{'number_adjacent_facts_other_value': 27.00352525252525, 'number_other_facts_same_value': 52.08433333333332, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 41.0, 'adjacent_row_used': 45.001000000000005, 'adjacent_block_used': 51.0, 'other_col_cons': 46.666666666666664, 'other_row_cons': 58.5, 'other_block_cons': 67.66666666666666, 'number_adjacent_row_facts': 18.875999999999998, 'number_adjacent_col_facts': 23.91766666666667, 'number_adjacent_block_facts': 18.250999999999998}"
3,4,"{'number_adjacent_facts_other_value': 27.00352525252525, 'number_other_facts_same_value': 53.33433333333332, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 41.0, 'adjacent_row_used': 45.001000000000005, 'adjacent_block_used': 51.0, 'other_col_cons': 46.666666666666664, 'other_row_cons': 58.5, 'other_block_cons': 67.66666666666666, 'number_adjacent_row_facts': 18.875999999999998, 'number_adjacent_col_facts': 23.91766666666667, 'number_adjacent_block_facts': 18.250999999999998}"
4,5,"{'number_adjacent_facts_other_value': 27.00352525252525, 'number_other_facts_same_value': 55.00099999999998, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 41.0, 'adjacent_row_used': 45.001000000000005, 'adjacent_block_used': 51.0, 'other_col_cons': 46.666666666666664, 'other_row_cons': 58.5, 'other_block_cons': 67.66666666666666, 'number_adjacent_row_facts': 18.875999999999998, 'number_adjacent_col_facts': 23.91766666666667, 'number_adjacent_block_facts': 18.250999999999998}"
5,6,"{'number_adjacent_facts_other_value': 27.00352525252525, 'number_other_facts_same_value': 56.25099999999998, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 41.0, 'adjacent_row_used': 45.001000000000005, 'adjacent_block_used': 51.0, 'other_col_cons': 46.666666666666664, 'other_row_cons': 58.5, 'other_block_cons': 67.66666666666666, 'number_adjacent_row_facts': 18.875999999999998, 'number_adjacent_col_facts': 23.91766666666667, 'number_adjacent_block_facts': 18.250999999999998}"
6,7,"{'number_adjacent_facts_other_value': 27.00352525252525, 'number_other_facts_same_value': 56.25099999999998, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 41.0, 'adjacent_row_used': 45.001000000000005, 'adjacent_block_used': 51.0, 'other_col_cons': 46.666666666666664, 'other_row_cons': 58.5, 'other_block_cons': 69.33333333333333, 'number_adjacent_row_facts': 18.875999999999998, 'number_adjacent_col_facts': 23.91766666666667, 'number_adjacent_block_facts': 18.250999999999998}"
7,8,"{'number_adjacent_facts_other_value': 29.50352525252525, 'number_other_facts_same_value': 56.25099999999998, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 41.0, 'adjacent_row_used': 45.001000000000005, 'adjacent_block_used': 51.0, 'other_col_cons': 46.666666666666664, 'other_row_cons': 58.5, 'other_block_cons': 69.33333333333333, 'number_adjacent_row_facts': 18.875999999999998, 'number_adjacent_col_facts': 23.91766666666667, 'number_adjacent_block_facts': 20.750999999999998}"
8,9,"{'number_adjacent_facts_other_value': 29.50352525252525, 'number_other_facts_same_value': 58.75099999999998, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 41.0, 'adjacent_row_used': 45.001000000000005, 'adjacent_block_used': 51.0, 'other_col_cons': 46.666666666666664, 'other_row_cons': 58.5, 'other_block_cons': 69.33333333333333, 'number_adjacent_row_facts': 18.875999999999998, 'number_adjacent_col_facts': 23.91766666666667, 'number_adjacent_block_facts': 20.750999999999998}"
9,10,"{'number_adjacent_facts_other_value': 25.75352525252525, 'number_other_facts_same_value': 60.41766666666665, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 45.001000000000005, 'adjacent_block_used': 56.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 58.5, 'other_block_cons': 64.33333333333333, 'number_adjacent_row_facts': 18.875999999999998, 'number_adjacent_col_facts': 20.16766666666667, 'number_adjacent_block_facts': 20.750999999999998}"
10,11,"{'number_adjacent_facts_other_value': 22.00352525252525, 'number_other_facts_same_value': 62.08433333333331, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 63.5, 'other_block_cons': 59.33333333333333, 'number_adjacent_row_facts': 15.125999999999998, 'number_adjacent_col_facts': 20.16766666666667, 'number_adjacent_block_facts': 20.750999999999998}"
11,12,"{'number_adjacent_facts_other_value': 24.50352525252525, 'number_other_facts_same_value': 62.08433333333331, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 63.5, 'other_block_cons': 59.33333333333333, 'number_adjacent_row_facts': 17.625999999999998, 'number_adjacent_col_facts': 20.16766666666667, 'number_adjacent_block_facts': 20.750999999999998}"
12,13,"{'number_adjacent_facts_other_value': 29.50352525252525, 'number_other_facts_same_value': 60.83433333333331, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 31.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 66.0, 'other_col_cons': 56.666666666666664, 'other_row_cons': 63.5, 'other_block_cons': 54.33333333333333, 'number_adjacent_row_facts': 22.625999999999998, 'number_adjacent_col_facts': 20.16766666666667, 'number_adjacent_block_facts': 25.750999999999998}"
13,14,"{'number_adjacent_facts_other_value': 29.50352525252525, 'number_other_facts_same_value': 62.500999999999976, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 31.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 66.0, 'other_col_cons': 56.666666666666664, 'other_row_cons': 63.5, 'other_block_cons': 54.33333333333333, 'number_adjacent_row_facts': 22.625999999999998, 'number_adjacent_col_facts': 20.16766666666667, 'number_adjacent_block_facts': 25.750999999999998}"
14,15,"{'number_adjacent_facts_other_value': 29.50352525252525, 'number_other_facts_same_value': 63.750999999999976, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 31.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 66.0, 'other_col_cons': 56.666666666666664, 'other_row_cons': 63.5, 'other_block_cons': 54.33333333333333, 'number_adjacent_row_facts': 22.625999999999998, 'number_adjacent_col_facts': 20.16766666666667, 'number_adjacent_block_facts': 25.750999999999998}"
